index,cid,sim,day,budget,start,end,vidCoeff,mobCoeff,reach,demand,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,completion_percentage,profit,revenue,budgetMillis,tartgetedImps,other,cost,ERR,decision
1,29411015,161,0,0.682,2,4,2.6870281614889144,1.6116127935894764,1411,,0,0,0,0,1,1,0,0,1.8298293174933107,-0.4999467866578815,0.8694100538429526,682,2581.8891669830614,0.0,1.369356840500834,1.2747948003562353,
2,20015934,161,0,10.49,1,5,2.5459127603370186,2.1343743463594613,10490,,1,0,1,0,0,0,0,0,1.544834927231926,11.400676968469664,12.979069486378437,10490,16205.318386662904,0.0,1.5783925179087734,1.2372802179579063,
3,24026432,161,0,5.882,1,5,2.2707558981644023,1.656807948178967,5882,,0,0,0,0,1,1,0,0,0.33227947596045493,-5.2782392298162195,0.6080599818267647,5882,1954.467877599396,0.0,5.886299211642984,0.10337639949451967,
4,8837461,161,0,1.657,1,5,2.3603633232142474,1.797090136248984,1657,,0,0,0,1,0,0,0,1,1.2098625272401968,-0.07122317797998434,1.8933944613909603,1657,2004.742207637006,0.0,1.9646176393709447,1.142664128781509,
5,30312717,161,0,6.507,1,5,2.826859310324387,2.2128182506718845,6507,,1,1,0,0,0,0,0,0,1.8199339856646555,6.267852693992716,8.288682568921983,6507,11842.310444719913,0.0,2.020829874929267,1.2738101381469162,
6,10866143,161,0,1.657,1,5,2.029158375759514,1.933270708816555,1657,,0,0,0,1,0,0,0,1,1.7316289325376488,0.3768964071061838,2.0947607011005154,1657,2869.309141214884,0.0,1.7178642939943316,1.2641887152085187,
7,22079262,161,0,9.54,1,5,2.544099404302413,2.410635990128566,9540,,0,0,0,0,1,0,1,0,1.5165515515213515,8.073307866812211,11.754750654347667,9540,14467.901801513693,0.0,3.681442787535457,1.2321541566402168,
8,11357147,161,0,3.037,1,5,2.7188117546669917,2.0759443176216603,3037,,0,1,0,1,0,0,0,0,1.486955613557023,-0.0369222739336319,3.7245985483908757,3037,4515.884198372679,0.0,3.7615208223245076,1.2264071611428633,
9,18626417,161,0,10.952,1,5,2.1497112442317117,1.8383509187453346,10952,,0,0,1,0,0,0,1,0,1.1413059989196273,-2.852192226048407,12.132984514575163,10952,12499.583300167757,0.0,14.98517674062357,1.1078327716010923,
10,24582765,161,1,3.644,3,5,2.9144392010099196,1.6301621892459939,11894,,1,1,0,0,1,1,0,0,0.1988928499471275,-3.4662561459237633,0.18025009967162622,3644,2365.6315572711346,0.0,3.6465062455953894,0.049464901117350774,
11,23945084,161,4,0.102,6,8,2.00966946092396,1.8003374588029504,614,,0,0,0,0,0,0,0,1,1.2837717849976757,0.11955696915344739,0.11955696915344739,102,788.2358759885728,0.0,0.0,1.1721271485632099,
12,18220308,161,2,0.435,4,8,2.71019912384738,1.8446261183426302,1292,,0,0,0,0,0,1,0,0,1.64036122795283,0.5447759718865568,0.5447759718865568,435,2119.346706515056,0.0,0.0,1.2523585560610502,
