index,game_number,day,active_networks,last_day_networks,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,l1_price,l2_price,l3_price,l4_price,l5_price,l6_price,l7_price
1,160,0,0,0,0,0,0,0,0,0,0,0,0.16087098885065643,0.15703640128504454,0.13893103086339864,0.13409766793814454,0.12771259800075527,0.12554769163560794,0.1234168042343166
2,160,1,0,0,0,0,0,0,0,0,0,0,0.2572472505044391,0.19082941760188657,0.18699132555493198,0.17704386554617405,0.1338025480095962,0.1301888717475996,0.1231173815836686
3,160,2,0,0,0,0,0,0,0,0,0,0,0.25857687045843886,0.1625114657092214,0.15790761329914355,0.15560982921134398,0.1552685512850031,0.13208561880961495,0.10477726714627664
5,161,0,8,0,2,2,2,3,2,1,2,2,0.2572472505044391,0.1861380527233409,0.15879854065773152,0.15727710994055888,0.1341862352175192,0.1329843947311547,0.12310198028437248
6,161,1,8,0,2,2,2,3,3,2,2,2,0.16373738473355376,0.15789283720185443,0.13953327353553607,0.1294930558570121,0.12616733808013084,0.11890404468317307,0.11531906468477672
7,161,2,8,0,3,3,2,3,4,3,2,2,0.2575779140116849,0.1900175831831868,0.1843570048844687,0.16136029112774836,0.1603454453997702,0.15804932788146825,0.12192020479713345
8,161,3,8,1,3,3,2,3,4,4,2,2,0.2581792196249445,0.18333383287223143,0.17490982464217922,0.16443351294146846,0.13858142576822668,0.1255082843124637,0.12234372629923979
9,161,4,8,8,4,3,3,3,3,3,2,2,0.26450802306953436,0.2610703195627668,0.17453695951608555,0.16317561517571233,0.15534514244908554,0.1326367076069933,0.12430950857296821
10,161,5,3,0,1,0,1,0,0,1,0,1,0.25555469422459004,0.1797489532378634,0.17897631151271437,0.1697714937035441,0.1612209894173141,0.1586196212715893,0.14705267948302136
11,161,6,4,0,1,0,2,1,0,1,1,2,0.2193474121223897,0.1933700741924727,0.17526618357019463,0.1540450076238402,0.12724207804488574,0.11535849082903472,0.1070910972101548
12,161,7,5,2,1,0,2,1,1,1,1,2,0.1917383965743301,0.16988792907229133,0.16716064331547148,0.16584615715240064,0.15993773175912057,0.15207642747159716,0.13661181490971114
13,161,8,4,0,1,1,2,1,1,0,1,1,0.18903510892667064,0.1695373477698181,0.15762042127209902,0.14312014584172303,0.13850916331320046,0.13844340778892883,0.12907114698096578
14,161,9,4,0,1,2,2,2,1,1,1,2,0.265558667273159,0.19730655083755927,0.17174796737221243,0.16034526992209197,0.15160508366751346,0.1382930816538085,0.11149120169630596
15,161,10,5,1,2,2,3,2,2,1,2,2,0.303936719025276,0.19184623775278664,0.15608738872137085,0.15486786276437198,0.14439399905524586,0.13458715359075046,0.12048451033241564
16,161,11,6,2,3,2,3,2,3,2,2,2,0.29974337631873815,0.1991955030730046,0.15547876297777652,0.14502106878822824,0.1437506633858457,0.1389960687462658,0.11593828808053822
17,161,12,4,0,3,1,3,1,3,2,3,2,0.16303396452263827,0.15991124467432943,0.15788361782666555,0.15489936006446348,0.14570488637076556,0.13230604434641874,0.11499773015990751
18,161,13,5,1,3,1,3,1,4,2,4,2,0.19039208227251034,0.18942374000116674,0.18697111561721697,0.18348718388209861,0.1715152989917953,0.11649148729875236,0.11520842509983448
20,162,0,8,0,1,1,1,3,5,2,2,1,0.18642886393789437,0.18568947725054216,0.1359012597390423,0.1267232971270987,0.11838844605763327,0.11463857804392061,0.11338474759597014
21,162,1,8,0,2,2,2,4,5,2,2,1,0.2572472505044391,0.19877907281493667,0.1846009635319062,0.16121153070897398,0.15807200817393355,0.13736201279393484,0.12481215232731918
22,162,2,8,0,2,2,2,5,5,2,2,1,0.25635671396289644,0.19583404975164587,0.1938882156309778,0.19347413297945348,0.1558177161912514,0.151487494300375,0.1250769164906321
23,162,3,8,1,2,2,2,5,5,2,3,1,0.256578505518475,0.19994466376803843,0.18347726005571033,0.14839208912724866,0.1392102526582829,0.13760896286138147,0.13548932081081866
24,162,4,8,8,1,1,1,4,6,2,4,1,0.25683501109548856,0.25511962220185436,0.17431552153618818,0.17144882708811726,0.15569641217979535,0.15284195071649867,0.1364199168938326
25,162,5,4,1,0,1,0,2,1,1,2,1,0.19604594040932816,0.17847968390955848,0.17523035658423008,0.16647670692212965,0.15140189373816035,0.14076073377094933,0.10427006119055178
26,162,6,4,1,0,2,0,3,1,2,1,2,0.19258977120724935,0.1866950399289253,0.16764670030227102,0.1285467787475109,0.11899007591762967,0.11154311712179328,0.10993664305314521
