cid,#sim,day,budget,start,end,vidCoeff,mobCoeff,reach,demand,publisher,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,completion_percentage,profit,decision,revenue,budgetMillis,tartgetedImps,other,cost,ERR
1529837419,118,1,0.527,2,4,2.93901424157047,2.4820804701685755,2692, , ,1,0,0,0,0,0,0,0,0.792843556231917,??, ,0.36368982157963115,527,2134.3348533763206,0.0,0.6950000000000004,0.6901135134338352
2033509671,118,0,10.49,1,5,2.467584438583378,1.8400132166552963,10490, , ,1,0,1,0,0,0,0,0,1,??, ,12.668124174807515,10490,14720.091380587655,0.0,19.4133486265554,1.2076381482180663
1187989270,118,0,9.077,1,5,2.9887813335835904,2.1044476091544904,9077, , ,1,0,0,0,1,0,0,0,1,??, ,11.258250970175558,9077,14182.27105336943,0.0,4.834853524424867,1.2403052737882074
386723551,118,0,3.037,1,5,2.2116604706364424,2.12022456344926,3037, , ,0,1,0,1,0,0,0,0,1,??, ,3.8132062328209555,3037,5052.396069687165,0.0,2.3495840719868246,1.2555832179193136
281926404,118,0,6.507,1,5,2.2587060729729815,2.3358400988988293,6507, , ,1,1,0,0,0,0,0,0,1,??, ,7.564440703841049,6507,8183.467131042892,0.0,6.5752081144382,1.1625081764009604
459892587,118,0,5.59,1,5,2.140981045365532,2.175716975153401,5590, , ,0,0,0,0,1,1,0,0,1,??, ,7.207777926342008,5590,11181.988848218663,0.0,5.962933701892014,1.2894057113313073
424670352,118,0,1.657,1,5,2.7689491014154815,2.1605832814752106,1657, , ,0,1,0,0,0,1,0,0,0.14844072060919591,??, ,0.056774796495046846,1657,245.96627404943763,0.0,0.0,0.03426360681656418
982061891,118,0,3.037,1,5,2.515597247219184,1.721472354035417,3037, , ,0,1,0,1,0,0,0,0,1,??, ,3.4684906313884993,3037,3670.399948945013,0.0,6.079119501467954,1.1420779161634835
245063240,118,0,10.952,1,5,2.3706739790504026,1.5553872826388195,10952, , ,1,0,0,0,1,0,0,0,1,??, ,13.178562128513587,10952,15182.552478064325,0.0,5.4188948704360484,1.2033018744077417
1438626519,118,2,0.985,3,7,2.8873772907187707,2.0500480227877387,3037, , ,0,1,0,1,0,0,0,0,1,??, ,1.2478269077128523,985,5328.272207173202,0.0,1.473317507749169,1.2668293479318298
1833475304,118,3,2.256,4,8,2.9013056762435143,2.410690854905925,15264, , ,0,0,0,0,1,0,1,0,1,??, ,2.833369551810245,2256,25432.182735145394,0.0,3.886189457057953,1.2559262197740448
366723262,118,4,0.587,5,9,2.8631256322982552,2.499611737143881,773, , ,0,0,0,0,0,1,0,1,1,??, ,0.7569147360354285,587,1546.869756422415,0.0,0.0,1.289462923399367
1163915067,118,6,2.73,7,9,2.882636601853143,1.6098164422339059,3354, , ,0,0,0,0,1,1,0,0,1,??, ,3.5203447436140434,2730,6713.608982751048,0.0,0.0,1.2895035690893932
1696061937,118,7,1.047,8,10,2.616395651267847,2.4561712808181086,4406, , ,0,0,0,0,1,0,0,0,1,??, ,1.2978865612952155,1047,6866.374116283212,0.0,1.589182057655182,1.2396242228225556
1502618065,118,5,0.75,6,15,2.731681570205163,2.189611784662598,5206, , ,1,1,0,0,0,0,0,0,1,??, ,0.9322417168198485,750,8218.560060606556,0.0,0.0,1.242988955759798
36579406,118,10,1.662,11,15,2.365939434163143,2.1036799154130366,2353, , ,0,0,0,0,1,1,0,0,1,??, ,1.6622935182428995,1662,2353.507249346362,0.0,0.0,1.0001766054409744
