day,segment,game,start,end,vidCoeff,mobCoeff,reach,publisher
0,OFH,3,1,5,2.151070976,1.902394163,7020,
0,OFL,4,1,5,2.151070976,1.902394163,7020,
0,OFH,2,2,4,2.323485955,2.405482514,4212,
0,OFL,1,2,4,2.323485955,2.405482514,4212,
0,OML,0,3,12,2.32796388,1.756677144,7262,
0,YML,85,3,12,2.32796388,1.756677144,7262,
0,YMH,0,4,6,2.109740775,1.554838949,11013,
0,YML,0,4,6,2.109740775,1.554838949,11013,
1,YFH,,4,6,2.109740775,1.554838949,11013,
1,YFL,0,4,6,2.109740775,1.554838949,11013,
1,OFL,0,5,9,2.592029504,2.12963689,10952,
1,YFL,4,5,8.2,2.592029504,2.12963689,10952,
1,YMH,,6,10,2.128599908,1.773424001,3092,
1,YFH,,6,10,2.128599908,1.773424001,3092,
1,,,,,,,,
1,,,,,,,,
